question_id,strategy,question,proposed_answer,grounding_0_2,correctness_0_2,cognitive_demand_0_2,clarity_0_2,evidence_or_reason
A01,A — Full Context,What does the learning rate control in gradient descent?,How far the parameters move on each update step.,2,2.0,0,2,Directly stated in lecture; straightforward recall.
A02,A — Full Context,State the gradient descent update rule.,w <- w - eta * grad_w L(w),2,2.0,0,2,Directly stated formula; recall.
A03,A — Full Context,What is the maximum value of the derivative of the sigmoid function?,"0.25, attained at z = 0.",2,2.0,0,2,Directly supported by the vanishing-gradient section.
A04,A — Full Context,Which optimiser did the lecture recommend as the best choice for all deep learning tasks?,Adam.,0,0.0,0,2,Lecture says Adam is widely used but not always better than well-tuned SGD with momentum.
A05,A — Full Context,Why does the vanishing gradient problem get worse with depth?,"Backpropagation multiplies one activation derivative per layer, so sub-unit factors compound geometrically.",2,2.0,1,2,Requires explaining the multiplicative effect across layers.
A06,A — Full Context,What is the typical value of the momentum coefficient beta?,0.9.,2,2.0,0,2,Directly stated in momentum section; recall.
A07,A — Full Context,"According to the lecture, what batch size gives the best convergence for image classification?",256.,0,0.0,0,2,"Lecture gives a general mini-batch range and trade-off, not an optimal image-classification batch size of 256."
A08,A — Full Context,What is the dying ReLU problem?,Units receiving consistently negative input have zero gradient permanently and never recover.,2,2.0,0,2,Directly supported by ReLU section; recall.
A09,A — Full Context,What are the three variants of gradient descent by batch size?,"Batch, stochastic, and mini-batch.",2,2.0,0,2,Directly listed in lecture; recall.
A10,A — Full Context,What does it indicate if training loss falls while validation loss rises?,"Overfitting, not an optimisation failure.",2,2.0,0,2,Directly supported by training-diagnosis slide; recall.
A11,A — Full Context,In which year was backpropagation first published?,1986.,0,,0,2,Lecture explains backpropagation but does not provide a publication year; source-based correctness is not verifiable.
A12,A — Full Context,What is the Hadamard product used for in the backward pass?,Elementwise multiplication when propagating delta through an activation derivative.,2,2.0,0,2,Directly supported by backward-pass formula and note that Hadamard product is elementwise.
